sample,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62,feature_63,feature_64,feature_65,feature_66,feature_67,feature_68,feature_69,feature_70#0,feature_71#0,feature_72#0,feature_73#0,feature_74#0,feature_75#0,feature_76#0,feature_77#0,feature_78#0,feature_79#0,feature_80#1,feature_81#1,feature_82#1,feature_83#1,feature_84#1,feature_85#1,feature_86#1,feature_87#1,feature_88#1,feature_89#1,feature_90#2,feature_91#2,feature_92#2,feature_93#2,feature_94#2,feature_95#2,feature_96#2,feature_97#2,feature_98#2,feature_99#2,status
sample_0,0.781595032,0.400889918,0.430170408,0.963604263,0.252169131,0.396734043,0.667287883,0.567915999,0.642057916,0.026827443,0.876372948,0.085095924,0.556453854,0.813350912,0.079594476,0.370346362,0.119675388,0.411888487,0.520684757,0.807774038,0.557817639,0.720779702,0.491881036,0.932153598,0.088234349,0.846704867,0.205815641,0.098039797,0.974122851,0.503519308,0.428437789,0.613611683,0.0524624,0.909575662,0.569485397,0.631713654,0.705364617,0.30211053,0.430871925,0.450564987,0.261083499,0.124480773,0.541468864,0.767067953,0.946222387,0.589126744,0.339769788,0.821097953,0.658368735,0.209831829,0.937028032,0.322989456,0.389233315,0.731256393,0.914903408,0.937486031,0.555385428,0.46593405,0.430670507,0.031645095,0.986185811,0.132300973,0.857596352,0.717297421,0.080341558,0.088006817,0.477268495,0.495421939,0.697082308,0.696375799,0.233607744,0.704670701,0.798757644,0.785195593,0.974288409,0.21720471,0.385021329,0.863945698,0.342872305,0.114087129,0.870207606,0.682893659,0.391137518,0.139309765,0.681425749,0.206623508,0.738654085,0.19423723,0.502564834,0.763675342,0.985029787,0.899357502,0.001562039,0.052679038,0.940031417,0.927573854,0.272448982,0.783584914,0.171732965,0.017002895,1
sample_1,0.749976075,0.123397228,0.045332151,0.106790812,0.979184437,0.239178885,0.704702526,0.832705242,0.453775869,0.496492844,0.584747807,0.135754519,0.513310722,0.619771311,0.566955025,0.390091048,0.14865905,0.351185667,0.643117924,0.076163991,0.599607667,0.908016707,0.671691866,0.293685672,0.442540648,0.638923305,0.547499764,0.804095494,0.620525459,0.897126281,0.070294535,0.489483469,0.517557809,0.737105396,0.286705677,0.94880528,0.536679098,0.154509783,0.483835606,0.42993452,0.270185895,0.899143987,0.232857312,0.275286392,0.238092848,0.247681126,0.458860269,0.904510739,0.617527156,0.130645318,0.207857464,0.181462506,0.608116947,0.990133962,0.190542352,0.348545666,0.982586337,0.395769502,0.399894388,0.757116088,0.468488583,0.686111515,0.767183954,0.878395769,0.093958346,0.635736414,0.873923343,0.339733836,0.7167377,0.210586955,0.578725077,0.640624773,0.547928651,0.523169338,0.801832931,0.208898025,0.542507524,0.317583064,0.800563991,0.654033944,0.911804808,0.012266046,0.635906336,0.988750859,0.793793591,0.42855502,0.613071086,0.694709276,0.112705004,0.247431977,0.730717389,0.672905117,0.307032182,0.362890304,0.227628614,0.530875035,0.715161498,0.713186658,0.003006308,0.491191803,1
sample_2,0.354724365,0.411380347,0.958143589,0.647151947,0.133414017,0.536812831,0.62231306,0.765521682,0.999358744,0.030494342,0.724020937,0.720595547,0.819067184,0.999504432,0.321037093,0.217087332,0.204950675,0.332295262,0.855955274,0.374210251,0.745555796,0.569003576,0.621475094,0.941165913,0.270024832,0.570656791,0.503115652,0.50779444,0.507888663,0.968598553,0.638326055,0.549110189,0.721850852,0.524913985,0.699430676,0.997122068,0.944885058,0.645631614,0.892875713,0.056197032,0.216056918,0.190316439,0.1385476,0.27769497,0.421944221,0.425692596,0.87913422,0.277794763,0.983822878,0.397565866,0.660457422,0.118728742,0.976190163,0.223721613,0.524072806,0.874164419,0.428402472,0.329489289,0.902034449,0.503699198,0.626962419,0.735726097,0.2847814,0.358964467,0.002346863,0.062121429,0.086154811,0.26727679,0.495772704,0.709339599,0.374529742,0.104808951,0.837237457,0.242062658,0.355461364,0.513703922,0.095990519,0.563599324,0.747098505,0.585157526,0.741607257,0.458924461,0.451995583,0.008065817,0.005090166,0.846802019,0.7273495,0.64342251,0.142688736,0.808756904,0.467356562,0.647654675,0.615520266,0.998878367,0.640395355,0.022091709,0.150770752,0.185962081,0.950376699,0.653419322,1
sample_3,0.837190865,0.608275812,0.377637422,0.534226168,0.636275253,0.659919272,0.843218958,0.290858771,0.611329594,0.862538484,0.897419651,0.186443344,0.795615814,0.501822697,0.693889319,0.595123077,0.601274527,0.943532144,0.48488458,0.832797388,0.294973487,0.783579075,0.361332201,0.317037182,0.521373007,0.764515443,0.384686857,0.745274893,0.956139657,0.284271201,0.498263214,0.400462559,0.950837197,0.311546269,0.676556837,0.050602649,0.042290306,0.819002036,0.850745849,0.840010087,0.56951631,0.147912831,0.794093262,0.116232045,0.757240526,0.322442745,0.469040584,0.715319986,0.779652615,0.936305565,0.937664946,0.066077351,0.045476186,0.021476644,0.178647912,0.498672929,0.007560307,0.879187436,0.286220162,0.527738352,0.843193473,0.72091798,0.710811104,0.944913672,0.475266926,0.96378248,0.291189336,0.944194637,0.872177697,0.240262521,0.591606219,0.140868571,0.296066252,0.295389701,0.827233616,0.421525579,0.848906376,0.226172436,0.374577851,0.46510228,0.044832944,0.132954669,0.89302649,0.527938591,0.158037405,0.342239984,0.440485002,0.123325549,0.026649793,0.091984336,0.078224764,0.363325974,0.320598584,0.90517108,0.710527407,0.110157324,0.17931176,0.742058521,0.350749621,0.751292565,1
sample_4,0.105434208,0.542933225,0.058075791,0.875268293,0.787284047,0.636777491,0.286436965,0.067281758,0.761833472,0.47981885,0.006598318,0.566539021,0.045837238,0.265757626,0.568235623,0.495785384,0.63625823,0.599403986,0.888370451,0.729734628,0.92918852,0.076250232,0.958046782,0.868864661,0.056321138,0.191548588,0.396306102,0.176677708,0.270602913,0.634045446,0.4978807,0.938435145,0.892688163,0.213378594,0.671854393,0.736652442,0.312039262,0.056691312,0.298584205,0.288244766,0.269166787,0.139865932,0.46176563,0.390384406,0.666359519,0.354012084,0.933324147,0.945648871,0.006924069,0.235255827,0.892492457,0.802721141,0.443610367,0.251047,0.001532137,0.81596164,0.380335836,0.2724889,0.403501455,0.252623965,0.199310166,0.044410686,0.065287793,0.733781706,0.984224814,0.102887614,0.118608276,0.169113741,0.42709458,0.69927513,0.854138353,0.52352834,0.5225812,0.402862783,0.976057791,0.038617869,0.425571521,0.944075678,0.092731253,0.801325144,0.39866849,0.999771138,0.428407552,0.80436258,0.108444269,0.166798965,0.412679289,0.027086276,0.659161422,0.222250254,0.19202007,0.067881,0.434672836,0.220727941,0.66451418,0.016868537,0.762535659,0.013069136,0.180736745,0.560780868,1
sample_5,0.562750169,0.547642294,0.5992441,0.705349006,0.225869862,0.377519027,0.648523198,0.409933115,0.364328416,0.749005086,0.831022469,0.661120311,0.319916896,0.885856952,0.46752269,0.074291374,0.818380778,0.268772385,0.199936137,0.360501157,0.448666257,0.278225534,0.509967677,0.098841604,0.55352581,0.982721101,0.57721483,0.557584787,0.225602556,0.874646295,0.335385246,0.798807664,0.913205368,0.839493001,0.941884938,0.583339041,0.347412884,0.017711751,0.288500707,0.049518723,0.823141386,0.9312477,0.571433554,0.17903071,0.273578525,0.840137195,0.659556305,0.48648372,0.788708777,0.489581638,0.232408581,0.465512015,0.838299786,0.16126328,0.123152805,0.237984043,0.94297904,0.133840514,0.827167557,0.657694818,0.952534428,0.196949707,0.752618764,0.316164329,0.307594535,0.486821446,0.781716672,0.923688546,0.245674602,0.337809167,0.266809011,0.311823061,0.359908938,0.042808217,0.007331727,0.067490765,0.568262513,0.404127987,0.558385928,0.151009135,0.834834895,0.359785209,0.395547076,0.303829186,0.037418346,0.995147232,0.982005502,0.267127316,0.491422562,0.720333476,0.714957373,0.920513415,0.361519371,0.851202893,0.036448222,0.587789415,0.680501561,0.111701104,0.075069415,0.921222693,1
sample_6,0.499576028,0.960586406,0.227869911,0.681546706,0.74189133,0.901794447,0.092935595,0.808857006,0.729752971,0.477755846,0.957174643,0.589962464,0.173540589,0.32568528,0.195869427,0.892864317,0.832855333,0.604299412,0.078102997,0.856290687,0.363863156,0.050671127,0.867491892,0.722154292,0.96988212,0.916713632,0.234587464,0.203122825,0.211571608,0.148100518,0.200093689,0.091912118,0.469367679,0.607207201,0.565636838,0.980720877,0.031362642,0.231824993,0.904611702,0.314561789,0.062979899,0.735399138,0.685006185,0.343060587,0.153878423,0.054280733,0.128961444,0.766423295,0.891859841,0.673771839,0.508692145,0.92437307,0.303248593,0.485713469,0.985033217,0.677961962,0.493590637,0.892442519,0.446465577,0.676368933,0.201300974,0.956799938,0.071979147,0.860905226,0.310138023,0.022806477,0.253374425,0.454309795,0.008363479,0.873389529,0.121548161,0.446124131,0.842602248,0.287702723,0.544395486,0.525732306,0.883039308,0.324861156,0.323641414,0.369781022,0.824154881,0.776517589,0.364980017,0.628984185,0.039580051,0.270718005,0.800140512,0.506465931,0.540828481,0.588284803,0.567949118,0.873188631,0.18574315,0.848028202,0.056067622,0.459078455,0.865207772,0.93575235,0.08118368,0.509260904,1
sample_7,0.200909114,0.815595969,0.086629335,0.989644557,0.095470184,0.504898898,0.504708056,0.670156702,0.394159568,0.626978562,0.268400818,0.06458219,0.388466266,0.333922106,0.202537421,0.681368997,0.465334924,0.513851859,0.191014623,0.90260177,0.876853845,0.652438718,0.996360784,0.504524902,0.281110842,0.78742746,0.949853683,0.869812087,0.165972863,0.381613222,0.259655318,0.227782749,0.561722693,0.727306263,0.381059075,0.359617083,0.269447242,0.92707665,0.208404984,0.93263839,0.897232059,0.517475394,0.637995047,0.075796837,0.578406105,0.107100844,0.897969547,0.271779617,0.501560235,0.973783346,0.192787265,0.334377585,0.738100603,0.342065134,0.427159135,0.085408833,0.273292348,0.87705413,0.699917883,0.226494532,0.913498546,0.465320578,0.40337293,0.721982449,0.859513243,0.945002538,0.947779985,0.046739255,0.848038992,0.439357362,0.339631848,0.31802941,0.576673306,0.218854265,0.346222459,0.09371421,0.944489759,0.690864315,0.797508706,0.475328793,0.143304314,0.29535329,0.360329853,0.159336939,0.070511953,0.41003403,0.881445044,0.065376353,0.972655295,0.429625139,0.762307066,0.042589202,0.573227807,0.875153469,0.450677157,0.414148464,0.586259965,0.19673657,0.927232147,0.924109538,0
sample_8,0.194598129,0.091324647,0.107385596,0.469147493,0.829831287,0.267542585,0.468310397,0.351360566,0.291797835,0.285086215,0.239072157,0.006636973,0.287365004,0.162077283,0.367781342,0.578116934,0.581491634,0.693272879,0.978404222,0.94474264,0.002692612,0.271901971,0.118608175,0.850841115,0.357987478,0.939883064,0.599365822,0.824013042,0.293145791,0.036981585,0.287507888,0.521710781,0.187618411,0.859291842,0.61485995,0.635752207,0.494996557,0.335557619,0.308997488,0.506344957,0.966711186,0.748521966,0.912419014,0.081571729,0.632549853,0.020443253,0.159211619,0.926050917,0.71282752,0.676348809,0.542316852,0.005022154,0.285750462,0.144325419,0.752727513,0.074578221,0.193380869,0.070181847,0.535997988,0.55177971,0.157330977,0.888054503,0.833175444,0.186554562,0.368781733,0.167207974,0.210142845,0.574624665,0.290216246,0.147296277,0.776018554,0.876838708,0.051663036,0.292868676,0.817066989,0.987492287,0.336704118,0.647042514,0.832203927,0.803683307,0.952200893,0.968786772,0.291112179,0.178681579,0.11702831,0.654936456,0.061409048,0.267311297,0.751664474,0.737581748,0.175264667,0.297843029,0.221903602,0.101455073,0.655129254,0.255381609,0.605151284,0.807403444,0.72705735,0.982864351,1
sample_9,0.193839822,0.095307641,0.804995011,0.173196657,0.104698005,0.360268261,0.878793891,0.047708736,0.023025225,0.848956805,0.317513641,0.108986419,0.980049471,0.307617199,0.730914524,0.057787526,0.512255294,0.790785751,0.353241371,0.482318622,0.952308697,0.757691852,0.736967112,0.509171018,0.049445194,0.962085483,0.245163004,0.474177089,0.452845625,0.437526256,0.22819619,0.275326061,0.654204227,0.743802812,0.89303845,0.023337282,0.649572247,0.488295092,0.986554708,0.948185378,0.00912779,0.818039311,0.077107472,0.525797225,0.353427251,0.416059889,0.46385324,0.798411112,0.21373954,0.005667325,0.505228973,0.348620139,0.398915156,0.83068151,0.236944955,0.050333839,0.95258263,0.519674927,0.905336339,0.935912565,0.743191308,0.502848902,0.856662375,0.624308598,0.943651494,0.285458202,0.404786043,0.366886789,0.453143877,0.567640715,0.332525213,0.529591647,0.294506576,0.765497154,0.888540748,0.517899029,0.514902043,0.296604268,0.188208765,0.931774291,0.486645567,0.249270168,0.210199391,0.112392479,0.014382388,0.697592773,0.001439331,0.953970217,0.493957778,0.963764132,0.544293234,0.502841068,0.104930149,0.676826742,0.753277988,0.670758123,0.303580564,0.595917149,0.279996712,0.786319964,0
